City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
334,Rosario,AR,-32.9468,-60.6393,79.84,38,0,4.0,clear sky
335,Kidodi,TZ,-7.6036,37.0044,68.81,83,45,3.38,scattered clouds
336,Upernavik,GL,72.7868,-56.1549,2.53,88,7,6.24,clear sky
337,Puerto Suarez,BO,-18.95,-57.8,81.03,68,99,2.51,overcast clouds
338,Sivaki,RU,52.6333,126.75,16.02,80,100,18.63,light snow
339,Cayenne,GF,4.9333,-52.3333,81.09,86,40,1.01,scattered clouds
340,Mabaruma,GY,8.2,-59.7833,73.54,98,79,2.53,broken clouds
341,Port Hedland,AU,-20.3167,118.5667,89.65,45,44,9.22,scattered clouds
342,Krasnyy Chikoy,RU,50.3643,108.7512,7.2,78,22,1.74,few clouds
343,Kerouane,GN,9.2667,-9.0167,70.12,46,0,3.11,clear sky
344,Lebyazhye,RU,55.2689,66.4947,21.67,90,99,12.64,overcast clouds
345,Santa Marinella,IT,42.0345,11.8536,57.94,94,100,11.77,overcast clouds
